CELL_ID,X,Y
1,4366,25
2,2343,115
3,2356,116
4,2369,124
5,2331,126
6,2862,136
7,2370,138
8,2461,137
9,2480,136
10,2346,140
11,2512,143
12,2481,149
13,2528,149
14,2842,148
15,2401,149
16,2454,152
17,2439,152
18,2384,155
19,2504,155
20,2831,158
21,2482,162
22,2879,161
23,2401,165
24,2510,166
25,3016,165
26,3137,168
27,2441,168
28,2828,169
29,2162,170
30,2413,171
31,2544,170
32,2426,171
33,2815,172
34,2896,171
35,2525,173
36,3048,172
37,1963,173
38,2565,174
39,2175,174
40,3011,176
41,2476,179
42,2498,179
43,2452,180
44,2131,182
45,2162,181
46,2196,181
47,2107,182
48,1936,183
49,2215,182
50,2417,182
51,2733,183
52,2182,184
53,2543,185
54,2769,184
55,2095,185
56,2916,184
57,2977,184
58,3038,187
59,2398,187
60,2894,188
61,2994,188
62,3014,189
63,3059,188
64,2150,190
65,2747,190
66,2866,190
67,2079,192
68,2165,193
69,2420,193
70,2907,195
71,2590,193
72,2941,194
73,2539,195
74,2189,196
75,2064,196
76,3078,195
77,3217,201
78,2233,199
79,2202,202
80,2524,202
81,2081,204
82,2376,202
83,2710,202
84,2793,203
85,2844,203
86,2887,204
87,3060,204
88,3313,203
89,2118,203
90,3302,203
91,2760,202
92,3131,205
93,2143,206
94,2159,206
95,2178,206
96,2551,204
97,2594,207
98,2775,207
99,2814,207
100,2985,207
101,2034,208
102,2132,209
103,2217,211
104,2394,210
105,2656,210
106,2743,210
107,3185,209
108,3286,210
109,2045,212
110,2056,211
111,2966,211
112,2072,212
113,2109,212
114,2571,214
115,2769,216
116,2906,215
117,2085,215
118,2726,217
119,3083,218
120,3168,216
121,2125,218
122,2150,218
123,2931,217
124,3153,216
125,3243,214
126,3324,217
127,2362,218
128,2697,219
129,2887,219
130,2173,220
131,2757,222
132,3304,219
133,2096,219
134,2198,220
135,2548,222
136,2845,219
137,2375,221
138,2065,223
139,2252,221
140,2785,223
141,2046,224
142,2077,225
143,2236,223
144,2597,224
145,2111,225
146,3193,228
147,2905,228
148,3105,228
149,2122,229
150,2136,229
151,2961,228
152,3335,229
153,2086,231
154,2338,231
155,2610,230
156,2637,230
157,3025,230
158,3119,229
159,3286,231
160,2833,231
161,2864,232
162,3157,233
163,3172,232
164,2103,235
165,2165,236
166,2212,233
167,2368,233
168,2809,232
169,3012,235
170,2248,235
171,2796,233
172,2849,234
173,2888,234
174,1935,234
175,2185,235
176,2318,234
177,2454,234
178,2022,236
179,2043,237
180,1999,237
181,2032,237
182,2772,237
183,2916,237
184,2151,239
185,3138,239
186,1884,240
187,2975,240
188,3119,240
189,2010,238
190,2128,242
191,2595,242
192,2824,240
193,3077,241
194,1930,242
195,2261,242
196,2067,242
197,2565,242
198,3261,243
199,1974,243
200,2810,245
201,1907,246
202,2366,245
203,2441,246
204,2898,246
205,2964,247
206,3309,245
207,1946,248
208,2936,246
209,3355,246
210,2321,249
211,2849,248
212,2864,248
213,3153,248
214,2089,249
215,2346,248
216,2248,249
217,2306,250
218,2391,250
219,2582,251
220,2021,252
221,2218,250
222,2783,250
223,2203,251
224,2296,253
225,2631,252
226,2800,253
227,2916,252
228,2952,252
229,3292,252
230,3418,252
231,2114,253
232,2824,253
233,3117,254
234,1932,253
235,1994,254
236,2141,253
237,2187,253
238,2362,257
239,2879,254
240,1895,256
241,2061,257
242,2379,256
243,1967,257
244,1872,257
245,2010,258
246,2040,258
247,2897,259
248,3384,258
249,2553,258
250,2988,258
251,3358,260
252,2084,260
253,2200,262
254,2933,261
255,1910,262
256,2331,261
257,3194,259
258,2244,262
259,2839,262
260,2169,263
261,2413,264
262,2815,264
263,3209,264
264,1938,265
265,2212,264
266,2633,265
267,2743,264
268,2128,265
269,2157,264
270,2187,264
271,2567,265
272,2606,264
273,2776,265
274,2864,264
275,3005,263
276,2147,267
277,2910,265
278,1843,267
279,1860,267
280,1985,266
281,2077,268
282,2229,267
283,2346,268
284,2437,266
285,2760,267
286,1874,269
287,1921,269
288,2013,269
289,2375,270
290,2991,270
291,2961,271
292,1854,271
293,2108,270
294,3229,270
295,1951,272
296,2062,273
297,2392,272
298,2462,272
299,2922,272
300,3179,273
301,2448,273
302,2474,273
303,2620,274
304,3329,273
305,2158,275
306,2264,274
307,2832,276
308,2291,275
309,2305,276
