CELL_ID,X,Y
1,1015,2638
2,1043,2643
3,963,2643
4,989,2651
5,944,2654
6,1126,2663
7,1044,2676
8,980,2678
9,896,2684
10,953,2682
11,931,2692
12,908,2692
13,1005,2692
14,1030,2705
15,1059,2704
16,984,2705
17,944,2709
18,967,2708
19,1010,2714
20,899,2717
21,163,2718
22,924,2720
23,956,2725
24,1009,2729
25,1044,2729
26,737,2730
27,992,2730
28,978,2731
29,863,2737
30,913,2741
31,769,2742
32,825,2743
33,1025,2744
34,810,2744
35,961,2744
36,753,2756
37,868,2757
38,832,2758
39,957,2758
40,930,2760
41,217,2761
42,240,2760
43,782,2760
44,278,2768
45,757,2772
46,796,2772
47,956,2773
48,740,2775
49,862,2779
50,970,2781
51,380,2779
52,334,2785
53,811,2786
54,938,2786
55,987,2788
56,434,2788
57,833,2783
58,515,2789
59,407,2789
60,888,2792
61,269,2792
62,357,2791
63,206,2793
64,663,2796
65,319,2798
66,849,2798
67,288,2801
68,402,2805
69,1018,2803
70,337,2805
71,741,2804
72,800,2804
73,953,2804
74,176,2807
75,377,2806
76,916,2805
77,776,2807
78,305,2807
79,975,2809
80,10,2811
81,257,2813
82,438,2813
83,941,2812
84,354,2816
85,550,2816
86,755,2817
87,813,2816
88,1000,2816
89,393,2819
90,878,2817
91,279,2819
92,118,2820
93,321,2820
94,784,2820
95,828,2821
96,959,2821
97,1629,2821
98,137,2826
99,416,2827
100,893,2828
101,804,2831
102,1014,2832
103,524,2830
104,564,2831
105,30,2832
106,853,2831
107,919,2832
108,350,2833
109,375,2833
110,767,2834
111,942,2834
112,161,2834
113,434,2834
114,283,2836
115,666,2835
116,787,2838
117,265,2838
118,305,2838
119,1295,2838
120,974,2839
121,1226,2839
122,400,2841
123,831,2840
124,87,2842
125,121,2844
126,588,2844
127,147,2845
128,1205,2845
129,1363,2845
130,363,2847
131,540,2847
132,922,2846
133,325,2849
134,345,2849
135,1184,2849
136,4,2849
137,423,2851
138,187,2850
139,894,2850
140,1314,2851
141,1636,2851
142,943,2856
143,1006,2853
144,1379,2852
145,286,2855
146,172,2857
147,1287,2856
