CELL_ID,X,Y
1,1650,4
2,1672,4
3,1706,2
4,1555,5
5,1955,4
6,2005,4
7,1380,7
8,1623,6
9,1923,5
10,2313,6
11,1464,7
12,2060,7
13,2494,6
14,1420,9
15,1532,7
16,1442,9
17,1601,9
18,1775,9
19,1479,9
20,2456,13
21,2533,12
22,1719,14
23,1389,16
24,1736,15
25,2234,16
26,1792,17
27,1488,20
28,1702,20
29,2118,20
30,1567,20
31,1926,23
32,2157,23
33,1409,25
34,1457,24
35,1754,25
36,1203,28
37,1506,27
38,1594,26
39,2039,26
40,1689,31
41,2013,30
42,2485,31
43,1886,32
44,2132,34
45,1437,36
46,1670,32
47,2061,34
48,1581,37
49,2232,37
50,2336,37
51,1770,40
52,2513,39
53,1254,41
54,1393,41
55,1369,43
56,1532,43
57,2025,44
58,1239,47
59,2450,47
60,2212,49
61,1673,52
62,1598,52
63,1799,51
64,2403,52
65,1648,55
66,1782,55
67,2059,54
68,2140,56
69,1423,55
70,2656,58
71,1119,61
72,1530,59
73,1407,65
74,1469,64
75,1660,66
76,2161,64
77,1353,66
78,1387,65
79,1430,72
80,1520,73
81,2023,73
82,1075,73
83,1752,73
84,1856,75
85,2439,78
86,1596,79
87,1646,79
88,2604,80
89,1389,83
90,1504,82
91,2650,83
92,2676,83
93,2331,86
94,2480,85
95,1048,86
96,1768,86
97,1975,86
98,2294,86
99,1256,87
100,1448,88
101,2086,88
102,2528,88
103,1204,90
104,2165,89
105,2627,89
106,2711,89
107,1024,92
108,1069,92
109,1118,95
110,2036,95
111,1429,96
112,2506,95
113,2003,96
114,1593,99
115,1888,99
116,2206,101
117,2793,101
118,1383,102
119,1495,102
120,1711,101
121,2252,102
122,964,103
123,1643,103
124,1757,105
125,1814,104
126,1869,106
127,1696,105
128,1142,108
129,2546,107
130,1216,109
131,1415,111
132,1477,109
133,2228,109
134,1061,112
135,1982,114
136,1575,114
137,2014,114
138,1711,116
139,945,117
140,1774,118
141,1036,118
142,1631,118
