CELL_ID,X,Y
1,2614,4
2,1200,5
3,1353,6
4,1542,5
5,2052,6
6,2594,6
7,1639,7
8,2686,6
9,2729,7
10,2538,8
11,2101,9
12,2433,10
13,1492,13
14,1779,12
15,2634,13
16,2180,13
17,2218,14
18,1690,16
19,2476,15
20,1614,17
21,1554,18
22,2658,17
23,1350,20
24,1516,18
25,2327,19
26,2153,21
27,2678,20
28,2888,20
29,1825,22
30,2302,22
31,2613,21
32,2053,24
33,2090,24
34,1396,23
35,1465,24
36,1583,25
37,1106,27
38,2550,26
39,1261,28
40,1318,29
41,2259,29
42,1809,29
43,2230,30
44,2107,32
45,1605,34
46,1783,34
47,2502,35
48,1530,37
49,2672,38
50,1362,39
51,1572,40
52,2307,41
53,1330,41
54,1428,42
55,2749,42
56,1130,44
57,1201,43
58,2030,43
59,2460,44
60,2555,44
61,2799,43
62,2161,44
63,1074,45
64,1833,47
65,2188,46
66,1100,47
67,1490,47
68,2329,48
69,2888,49
70,1176,49
71,1453,49
72,1557,51
73,2052,50
74,2522,50
75,1857,50
76,2833,51
77,2129,52
78,2260,53
79,2921,52
80,2682,53
81,2957,56
82,1392,57
83,1770,56
84,2017,56
85,1337,58
86,1819,58
87,1904,58
88,1054,59
89,1308,59
90,2563,60
91,1467,62
92,2425,61
93,1499,63
94,1197,64
95,1407,65
96,2368,63
97,1169,66
98,1241,65
99,1691,65
100,1107,67
101,1753,68
102,2527,67
103,2692,67
104,1562,70
105,2214,69
106,1514,70
107,1641,70
108,2296,70
109,1532,70
110,2156,70
111,2264,72
112,2902,71
113,1622,72
114,1854,73
115,2109,72
116,2233,73
117,2820,72
118,1384,74
119,2760,73
120,2989,73
121,1063,76
122,1826,75
123,1878,75
124,2406,75
125,2739,75
126,1715,77
127,2081,77
128,1917,78
129,2456,79
130,1003,80
131,1599,83
132,1455,82
133,2096,83
134,1115,85
135,1996,84
136,3006,84
137,3027,84
138,1162,86
139,1334,86
140,2368,85
141,1412,87
142,1544,87
143,1964,88
144,2117,88
145,2530,89
146,2198,91
147,1081,93
148,1268,92
149,3042,92
150,1036,94
151,946,94
152,1347,96
153,1641,96
154,2763,95
155,2897,94
156,1373,96
157,2035,96
158,2314,96
159,2482,97
160,2643,97
161,2423,97
162,1493,99
163,2663,100
164,2868,100
165,1455,101
166,1928,101
167,2504,100
168,969,103
169,1670,102
170,2063,101
171,2821,102
172,1610,103
173,1708,103
174,1748,103
175,1793,103
176,2958,103
177,2331,105
178,1302,106
179,2367,106
180,2730,106
181,1569,106
182,2604,108
183,3075,108
184,1399,110
185,1437,110
186,2101,109
187,1552,112
188,2746,111
189,3028,110
190,1827,112
191,940,116
192,1234,115
193,1722,116
194,2552,112
195,1150,116
196,1997,116
197,2523,121
198,2061,121
199,1121,124
200,2103,123
201,1028,124
202,1066,124
203,960,125
204,1416,126
205,2319,125
206,1686,126
207,1756,127
208,2011,128
209,2392,129
210,2447,128
211,3023,128
212,1488,128
213,2870,129
214,902,134
215,1647,133
216,2180,132
217,2555,133
218,2835,133
219,2288,135
220,1898,137
221,2269,137
222,1024,140
223,1175,140
224,2087,140
225,922,142
226,1083,142
227,1475,143
228,1621,141
229,2058,144
230,1917,146
231,2421,146
232,2659,147
233,3026,147
234,1883,147
235,2119,147
236,2698,148
237,1047,151
238,1424,150
239,2019,152
240,2571,150
241,2919,152
242,855,154
243,2169,153
244,2384,153
245,2827,154
246,1678,154
247,1118,155
248,1341,156
249,1442,157
250,2076,156
251,1861,156
252,1896,159
253,2647,158
254,898,158
255,1834,155
256,2266,160
257,1395,159
258,2088,157
259,1211,162
260,2531,162
261,1629,160
262,1653,163
263,2149,164
264,3081,164
265,2053,166
266,2110,164
267,1995,166
268,2025,164
269,2199,166
270,2857,166
271,2875,166
272,1931,168
273,2133,168
274,2659,172
275,3045,170
276,3138,169
277,1681,172
278,1839,174
279,2609,170
280,2797,170
281,2947,171
282,3063,170
283,1912,172
284,840,173
285,891,173
286,1058,174
287,2089,174
288,2511,172
289,1422,176
290,2584,175
291,2888,175
292,1251,179
293,2360,176
294,2627,175
295,2697,176
296,871,177
297,809,178
298,1885,181
299,1139,182
300,1599,181
301,2256,184
302,2329,182
303,2783,185
304,968,184
305,1918,186
306,996,186
307,2111,187
308,1161,188
309,1937,187
310,2238,187
311,945,190
312,1709,189
313,2510,191
314,1179,192
315,1730,192
316,2179,192
317,2205,191
318,1095,194
319,1974,193
320,2130,194
321,1643,196
322,2042,197
323,2065,197
324,2091,195
325,849,198
326,2662,199
327,1590,200
328,2877,199
329,3071,199
330,874,202
331,2955,200
332,2336,204
333,2629,204
334,3019,204
335,788,206
336,1032,206
337,2082,208
338,2845,208
339,2929,211
340,3099,210
341,1932,212
342,2011,212
343,1637,214
344,1337,213
345,2126,214
346,2280,214
347,836,216
348,1143,215
349,2379,215
350,1169,216
351,2504,217
352,1563,218
353,1676,220
354,1826,220
355,2316,220
356,3142,219
357,962,223
358,2942,221
359,2636,223
360,2786,223
361,868,224
362,2037,223
363,1453,225
364,1522,224
365,1894,224
366,2994,225
367,1236,226
368,1618,226
369,1784,226
370,724,227
371,2123,228
372,2559,227
373,3031,227
374,1316,229
375,1655,228
376,1759,229
377,2652,229
378,1383,231
379,1963,231
380,1038,235
381,2069,233
382,753,234
383,1503,236
384,1941,234
385,831,236
386,1428,237
387,2466,236
388,2491,237
389,1697,237
390,1633,240
391,2231,239
392,2362,240
393,1665,241
394,2120,240
395,3016,240
396,2039,242
397,2954,243
398,811,245
399,857,244
400,1352,244
401,1969,245
402,2138,244
403,3042,244
404,1645,245
405,1892,247
406,2159,247
407,960,250
408,1487,249
409,1730,249
410,1923,251
411,2676,249
412,2526,250
413,2773,251
414,2902,252
415,2190,252
416,2414,252
417,2649,252
418,2840,253
419,2117,254
420,1694,256
421,1710,255
422,3209,255
423,754,257
424,1952,258
425,2216,256
426,2716,257
427,3104,256
428,3266,256
429,772,259
430,882,258
431,1138,258
432,1649,259
433,2063,258
434,2301,258
435,3008,258
436,1864,259
437,668,260
438,1597,261
439,1680,261
440,2202,263
441,696,264
442,2237,264
443,942,265
444,1443,266
445,1997,266
446,2424,265
447,2380,268
448,3173,268
449,834,269
450,1752,268
451,2026,270
452,2080,270
453,2152,270
454,795,271
455,1633,271
456,2176,271
457,1192,273
458,1823,273
459,2402,272
460,873,274
461,2361,273
462,2966,274
463,751,274
464,1646,275
465,1790,275
466,2517,274
467,2655,276
468,1575,275
469,1676,277
470,2567,279
471,3031,278
472,850,280
473,927,280
474,1596,281
475,2259,279
476,2491,278
477,1125,281
478,1876,281
479,1944,281
480,815,283
481,1480,282
