CELL_ID,ACE2,C1QC,C3a,C3aR,C3d,C4d,C5aR,C9,CD107a,CD11b,CD11c,CD141,CD183,CD196,CD21,CD227,CD25,CD31,CD35,CD38,CD45,CD46,CD55,CD68,Clusterin,CollagenIV,DAPI,EpCAM,FoxP3,GranzymeB,ICOS,MASP2,Nestin,PD1,Perlecan,RORgammaT,SC5b9,SPP1,TFAM,VWF,aSMA,bCatenin1
1,20.19499969482422,18.785999298095703,14.447999954223633,15.993000030517578,42.637001037597656,22.972000122070312,42.119998931884766,31.965999603271484,14.87399959564209,22.084999084472656,27.76300048828125,16.39299964904785,25.270999908447266,20.485000610351562,30.277999877929688,16.645999908447266,22.107999801635742,21.520000457763672,17.225000381469727,68.11299896240234,16.457000732421875,19.683000564575195,14.920000076293945,23.47800064086914,16.410999298095703,39.97200012207031,41.0369987487793,13.102999687194824,16.344999313354492,14.368000030517578,36.03900146484375,15.98900032043457,21.177000045776367,14.63700008392334,22.57900047302246,25.42300033569336,19.98900032043457,27.04800033569336,29.413999557495117,26.19300079345703,18.94300079345703,28.027999877929688
2,21.98900032043457,16.018999099731445,16.878000259399414,16.613000869750977,36.5,20.395000457763672,47.262001037597656,33.54399871826172,18.67099952697754,25.356000900268555,37.61600112915039,15.380999565124512,14.07699966430664,27.886999130249023,25.260000228881836,19.81800079345703,26.63800048828125,22.843000411987305,12.864999771118164,67.13300323486328,20.98900032043457,19.15999984741211,19.615999221801758,31.964000701904297,15.590999603271484,29.79800033569336,40.676998138427734,19.23200035095215,19.239999771118164,17.121999740600586,43.7599983215332,17.792999267578125,13.704000473022461,19.367000579833984,24.503000259399414,24.398000717163086,23.20199966430664,27.35099983215332,27.86199951171875,17.007999420166016,19.527999877929688,25.833999633789062
3,16.054000854492188,20.364999771118164,10.656999588012695,21.982999801635742,29.451000213623047,20.91699981689453,25.02199935913086,21.613000869750977,21.586000442504883,23.972999572753906,22.55900001525879,30.423999786376953,22.764999389648438,21.02899932861328,30.413999557495117,15.819000244140625,21.965999603271484,19.198999404907227,12.409000396728516,68.16200256347656,18.131999969482422,13.501999855041504,17.645000457763672,28.875,13.435999870300293,22.6200008392334,38.702999114990234,13.95300006866455,14.119999885559082,14.274999618530273,23.94099998474121,20.673999786376953,12.211000442504883,14.225000381469727,17.385000228881836,18.0049991607666,10.949000358581543,28.479999542236328,28.09600067138672,13.321000099182129,16.87299919128418,27.43400001525879
4,27.049999237060547,24.35300064086914,17.841999053955078,16.316999435424805,23.17300033569336,3.568000078201294,11.82699966430664,370.2449951171875,23.065000534057617,15.612000465393066,39.374000549316406,14.093999862670898,70.21600341796875,17.423999786376953,30.25200080871582,19.07200050354004,22.74799919128418,25.798999786376953,18.878000259399414,40.474998474121094,27.51799964904785,6.1579999923706055,14.741000175476074,26.48900032043457,46.525001525878906,523.1510009765625,276.4530029296875,20.266000747680664,16.049999237060547,12.612000465393066,3.9709999561309814,19.841999053955078,26.777000427246094,15.151000022888184,2.2950000762939453,24.143999099731445,18.143999099731445,8.45300006866455,45.1150016784668,30.266000747680664,20.964000701904297,6.560999870300293
5,20.590999603271484,31.881999969482422,26.204999923706055,23.340999603271484,61.625,16.03700065612793,48.643001556396484,44.99700164794922,99.97899627685547,24.750999450683594,29.763999938964844,21.15999984741211,137.5800018310547,21.801000595092773,37.54600143432617,20.868999481201172,23.273000717163086,26.010000228881836,24.898000717163086,55.428001403808594,32.2760009765625,62.80099868774414,22.62700080871582,31.77400016784668,31.134000778198242,378.32000732421875,569.8900146484375,15.387999534606934,18.97100067138672,21.25200080871582,17.554000854492188,31.70599937438965,19.40399932861328,17.45400047302246,18.73200035095215,89.75599670410156,21.22599983215332,33.80099868774414,41.33599853515625,30.56999969482422,28.288999557495117,64.31800079345703
6,26.94300079345703,36.3390007019043,35.72600173950195,28.628000259399414,66.73400115966797,26.663000106811523,39.99599838256836,79.93900299072266,213.6540069580078,29.41699981689453,30.91699981689453,17.291000366210938,492.5669860839844,42.652000427246094,65.16500091552734,52.34299850463867,20.291000366210938,22.961000442504883,26.492000579833984,96.02799987792969,63.29499816894531,181.2949981689453,20.6299991607666,37.40399932861328,79.9530029296875,50.03499984741211,326.7239990234375,24.951000213623047,17.80299949645996,22.05500030517578,32.88199996948242,22.36400032043457,20.724000930786133,19.242000579833984,14.541000366210938,378.4070129394531,25.177000045776367,156.86000061035156,58.042999267578125,68.77200317382812,54.340999603271484,550.5960083007812
7,27.101999282836914,32.58000183105469,25.545000076293945,22.503000259399414,103.31199645996094,27.586999893188477,54.57500076293945,119.88500213623047,139.97500610351562,28.572999954223633,29.972000122070312,21.493999481201172,344.0419921875,30.166000366210938,65.38099670410156,27.14299964904785,20.66699981689453,24.292999267578125,25.861000061035156,101.19400024414062,57.935001373291016,105.43599700927734,16.902999877929688,30.636999130249023,46.14099884033203,196.83799743652344,721.4249877929688,16.575000762939453,20.801000595092773,22.266000747680664,29.125,23.466999053955078,20.2189998626709,18.18199920654297,22.572999954223633,611.9310302734375,23.888999938964844,112.91500091552734,59.375999450683594,48.19599914550781,29.39299964904785,299.2099914550781
8,27.886999130249023,54.76499938964844,32.43899917602539,23.22599983215332,71.56700134277344,18.20400047302246,41.784000396728516,88.49199676513672,297.9809875488281,31.441999435424805,34.02799987792969,24.71500015258789,271.09100341796875,31.76799964904785,56.57099914550781,19.408000946044922,21.176000595092773,24.273000717163086,23.69300079345703,66.50199890136719,57.250999450683594,165.65199279785156,18.10300064086914,49.483001708984375,43.11000061035156,188.41700744628906,383.7650146484375,22.41699981689453,21.15399932861328,18.156999588012695,23.23200035095215,23.388999938964844,22.408000946044922,16.86199951171875,13.071999549865723,195.0469970703125,23.322999954223633,112.9530029296875,77.44499969482422,43.41400146484375,56.5359992980957,349.95599365234375
9,26.36199951171875,29.266000747680664,32.78499984741211,19.31100082397461,56.582000732421875,11.831000328063965,37.321998596191406,570.072998046875,114.9209976196289,23.277000427246094,23.253999710083008,21.23699951171875,93.2770004272461,21.513999938964844,51.474998474121094,646.3560180664062,27.98900032043457,31.027999877929688,18.819000244140625,74.31600189208984,40.92100143432617,37.130001068115234,14.027999877929688,29.219999313354492,86.88099670410156,1117.508056640625,298.5880126953125,15.220000267028809,14.78499984741211,14.836000442504883,23.023000717163086,21.479999542236328,17.819000244140625,16.746000289916992,17.09600067138672,85.31099700927734,15.423999786376953,46.61000061035156,62.327999114990234,24.937999725341797,26.729000091552734,63.36199951171875
10,25.035999298095703,36.48699951171875,72.16600036621094,17.42799949645996,93.33300018310547,34.73400115966797,57.91400146484375,164.38699340820312,549.0570068359375,23.017000198364258,27.988000869750977,26.327999114990234,355.8219909667969,42.08100128173828,96.57499694824219,11.75100040435791,23.472999572753906,19.582000732421875,19.045000076293945,79.9739990234375,73.58399963378906,167.58399963378906,20.249000549316406,81.31600189208984,40.9640007019043,57.52299880981445,482.6940002441406,25.524999618530273,17.913999557495117,19.26099967956543,25.15399932861328,24.37299919128418,23.08799934387207,19.485000610351562,23.0310001373291,1203.050048828125,36.527000427246094,137.7429962158203,73.86699676513672,44.159000396728516,107.42500305175781,587.302001953125
