CELL_ID,X,Y
1,2120,87
2,2141,109
3,2138,231
4,2337,1267
5,2400,1274
6,2376,1275
7,2319,1287
8,2300,1292
9,2327,1303
10,2313,1309
11,2396,1308
12,2424,1310
13,2337,1313
14,2383,1315
15,2259,1324
16,2424,1324
17,2406,1326
18,159,1324
19,2320,1329
20,2236,1333
21,2394,1339
22,2369,1340
23,2474,1344
24,2282,1343
25,2501,1350
26,2303,1360
27,2208,1365
28,197,1366
29,2515,1367
30,2321,1368
31,2534,1368
32,2283,1371
33,2253,1374
34,114,1381
35,2503,1381
36,2702,1384
37,2140,1386
38,2158,1386
39,2567,1388
40,2519,1388
41,2676,1390
42,2123,1393
43,204,1395
44,2234,1397
45,2259,1397
46,2375,1399
47,2533,1400
48,96,1404
49,2163,1405
50,2272,1405
51,2287,1410
52,2112,1409
53,2626,1408
54,2093,1409
55,2364,1409
56,2305,1411
57,2723,1410
58,260,1412
59,236,1414
60,2562,1416
61,103,1418
62,2535,1419
63,2650,1418
64,83,1420
65,2152,1422
66,2683,1422
67,2130,1424
68,270,1424
69,2586,1424
70,218,1425
71,2219,1426
72,2501,1426
73,2471,1426
74,2661,1427
75,2418,1430
76,2271,1432
77,2703,1433
78,2350,1435
79,2090,1436
80,2673,1436
81,278,1437
82,83,1440
83,2178,1439
84,2486,1440
85,2759,1440
86,2544,1441
87,190,1443
88,2115,1442
89,2238,1443
90,2517,1442
91,2384,1443
92,2257,1443
93,2301,1445
94,2411,1446
95,2068,1448
96,2604,1448
97,2665,1449
98,218,1449
99,2194,1448
100,2649,1449
101,2711,1450
102,149,1453
103,2081,1451
104,2163,1452
105,2183,1454
106,2363,1455
107,2491,1455
108,2633,1455
109,2393,1457
110,2746,1458
111,2774,1459
112,2099,1459
113,2231,1461
114,2301,1462
115,2341,1462
116,2678,1461
117,2275,1463
118,273,1464
119,326,1465
120,2528,1463
121,78,1466
122,2158,1467
123,2428,1466
124,2604,1466
125,2116,1467
126,2464,1466
127,2566,1469
128,2694,1470
129,221,1470
130,2064,1470
131,2654,1470
132,1983,1472
133,2583,1471
134,2371,1472
135,3681,1473
136,126,1474
137,184,1475
138,2517,1474
139,2634,1475
140,253,1475
141,2449,1474
142,165,1478
143,2551,1476
144,2672,1477
145,344,1481
146,2085,1482
147,2307,1479
148,2187,1482
149,2531,1484
150,2769,1483
151,148,1485
152,2571,1485
153,2225,1487
154,2385,1487
155,198,1490
156,2290,1489
157,2346,1490
158,2437,1491
159,296,1494
160,2204,1493
161,2472,1494
162,2598,1492
163,324,1494
164,81,1497
165,2457,1497
166,2555,1495
167,2092,1497
168,2248,1495
169,2368,1499
170,2163,1499
171,2302,1499
172,52,1501
173,271,1500
174,1969,1501
175,2220,1501
176,2488,1501
177,2183,1503
178,2656,1503
179,2111,1505
180,2315,1505
181,2413,1506
182,2235,1509
183,2550,1508
184,369,1508
185,2007,1509
186,2435,1512
187,145,1511
188,2330,1511
189,248,1514
190,2699,1514
191,37,1516
192,303,1516
193,345,1515
194,2199,1515
195,2575,1515
196,2596,1517
197,2814,1517
198,2284,1518
199,2732,1517
200,2154,1518
201,216,1519
202,2506,1518
203,2527,1522
204,2654,1523
205,100,1523
206,189,1523
207,359,1523
208,2464,1525
209,2342,1526
210,2669,1527
211,2211,1530
212,324,1533
213,128,1537
214,2268,1534
215,37,1535
216,109,1535
217,2450,1535
218,2580,1538
219,273,1538
220,2320,1539
221,2484,1539
222,2159,1541
223,2505,1540
224,2547,1540
225,58,1542
226,2224,1541
227,2728,1541
228,305,1543
229,2385,1543
230,2419,1542
231,2628,1543
232,2335,1545
233,2675,1544
234,212,1546
235,2206,1550
236,2473,1549
237,235,1548
238,2525,1548
239,2260,1549
240,2233,1553
241,1989,1554
242,2279,1555
243,2367,1557
244,182,1557
245,260,1557
246,321,1558
247,2184,1558
248,29,1559
249,2131,1559
250,2297,1559
251,298,1560
252,2154,1560
253,2328,1561
254,121,1563
255,2425,1562
256,2744,1562
257,368,1563
258,2254,1563
259,2520,1565
260,277,1568
261,153,1567
262,393,1567
263,2410,1571
264,207,1572
265,2210,1572
266,2685,1573
267,1989,1575
268,2287,1573
269,2322,1574
270,2489,1575
271,70,1575
272,250,1575
273,348,1577
274,2181,1576
275,2553,1577
276,2701,1577
277,2067,1578
278,2104,1576
279,2127,1577
280,2455,1577
281,19,1583
282,2149,1582
283,2169,1583
284,2346,1582
285,54,1585
286,2664,1585
287,287,1586
288,2286,1586
289,2434,1588
290,2592,1587
291,2217,1589
292,392,1589
293,2306,1590
294,2324,1590
295,2137,1592
296,2245,1591
297,208,1593
298,231,1593
299,2376,1593
300,2460,1592
301,266,1596
302,66,1596
303,2009,1596
304,2550,1599
305,317,1600
306,2338,1599
307,2530,1599
308,2355,1601
309,2085,1601
310,2279,1601
311,2472,1601
312,379,1603
313,1984,1605
314,2027,1604
315,2314,1605
316,2569,1603
317,1959,1604
318,2123,1604
319,2203,1604
320,14,1605
321,114,1606
322,150,1606
323,2049,1606
324,2183,1608
325,2699,1607
326,2225,1609
327,2516,1612
328,457,1612
329,2374,1611
330,2616,1612
331,2338,1614
332,2258,1615
333,2563,1619
334,1951,1620
335,2109,1621
336,2172,1620
337,2239,1620
338,2361,1621
339,2685,1620
340,179,1621
341,393,1621
342,436,1621
343,2384,1619
344,2402,1621
345,2710,1622
346,22,1623
347,219,1623
348,1934,1623
349,205,1625
350,247,1624
351,267,1625
352,2326,1624
353,2019,1626
354,2222,1626
355,2465,1624
356,2547,1626
357,2127,1627
358,2311,1627
359,2507,1626
360,290,1628
361,2154,1628
362,72,1630
363,473,1630
364,2284,1631
365,2052,1635
366,2196,1632
367,162,1634
368,1980,1634
369,2094,1634
370,2378,1634
371,34,1635
372,349,1635
373,365,1635
374,2258,1634
375,500,1636
376,1949,1636
377,2675,1635
378,92,1638
379,2471,1638
380,2037,1638
381,2447,1640
382,2517,1640
383,2572,1639
384,479,1642
385,537,1643
386,1930,1644
387,2332,1643
388,465,1645
389,2137,1645
390,2249,1644
391,2287,1646
392,2023,1646
393,2179,1647
394,65,1647
395,114,1648
396,2500,1647
397,181,1650
398,2621,1648
399,280,1651
400,212,1652
401,2348,1651
402,2214,1652
403,356,1654
404,2037,1656
405,2154,1655
406,2487,1656
407,2532,1655
408,1953,1657
409,2513,1657
410,2577,1658
411,227,1660
412,2057,1659
413,2138,1662
414,2245,1660
415,428,1662
416,2270,1661
417,2446,1660
418,2499,1661
419,2003,1663
420,2221,1663
421,2289,1662
422,2428,1663
423,2635,1663
424,2077,1664
425,2113,1663
426,1968,1664
427,2321,1664
428,398,1666
429,453,1665
430,1988,1669
431,1889,1670
432,2355,1669
433,97,1671
434,1903,1672
435,1943,1671
436,2163,1671
437,2469,1669
438,2516,1671
439,268,1673
440,572,1672
441,1920,1672
442,2535,1671
443,233,1673
444,538,1674
445,2130,1675
446,2672,1675
447,2248,1676
448,2339,1677
449,2634,1677
450,416,1677
451,2093,1678
452,2498,1677
453,482,1677
454,2056,1678
455,310,1680
456,366,1680
457,443,1682
458,1995,1680
459,2075,1680
460,2201,1681
461,2297,1680
462,2453,1679
463,2034,1681
464,2482,1682
465,2564,1681
466,2607,1680
467,518,1683
468,2219,1683
469,1944,1686
470,2272,1687
471,199,1687
472,337,1689
473,395,1690
474,2585,1688
475,2063,1690
476,2472,1690
477,2087,1692
478,2642,1691
479,2000,1691
480,2502,1693
481,473,1695
482,497,1696
483,2037,1696
484,2156,1694
485,2231,1694
486,2445,1694
487,55,1695
488,256,1695
489,1980,1696
490,2195,1696
491,2251,1696
492,2540,1697
493,596,1698
494,2142,1698
495,2556,1698
496,2593,1701
497,2606,1699
498,207,1701
499,1906,1701
500,2074,1700
501,2180,1702
502,2210,1702
503,2361,1702
504,2520,1699
505,422,1701
506,1871,1703
507,2013,1705
508,2346,1704
509,2392,1703
510,2573,1704
511,2300,1704
512,2472,1704
513,1994,1708
514,2638,1707
515,331,1708
516,2054,1707
517,2162,1707
518,2240,1708
519,2441,1709
520,573,1711
521,2130,1710
522,2223,1710
523,475,1712
524,2147,1713
525,2271,1710
526,2550,1712
527,2615,1712
528,177,1713
529,1960,1712
530,2081,1714
531,2115,1714
532,2286,1713
533,2380,1714
534,2211,1722
535,2333,1717
536,2409,1716
537,2512,1716
538,423,1719
539,66,1719
540,1985,1719
541,2456,1719
542,2599,1721
543,551,1722
544,2041,1722
545,2161,1722
546,2473,1724
547,201,1723
548,365,1723
549,2438,1724
550,451,1724
551,2144,1724
552,2424,1723
553,2625,1724
554,2746,1726
555,1901,1727
556,2273,1728
557,2298,1727
558,2541,1727
559,2565,1729
560,477,1730
561,1944,1728
562,2399,1729
563,1920,1730
564,1969,1730
565,2345,1730
566,2377,1731
567,2064,1732
568,2195,1731
569,2229,1731
570,2358,1731
571,2670,1732
572,497,1733
573,615,1733
574,2113,1733
575,2490,1734
576,2616,1733
577,2132,1733
578,2320,1736
579,2513,1735
580,2590,1734
581,136,1736
582,2009,1735
583,2027,1736
584,2150,1738
585,2178,1735
586,2087,1737
587,2424,1737
588,40,1738
589,181,1739
590,2442,1738
591,324,1739
592,344,1741
593,1932,1741
594,160,1742
595,217,1743
596,458,1743
597,1885,1742
598,2659,1742
599,2164,1743
600,2470,1744
601,296,1745
602,2213,1744
603,2551,1744
604,2640,1746
605,1954,1747
606,2391,1746
607,534,1748
608,604,1748
609,2267,1748
610,2295,1748
611,2511,1749
612,2455,1744
613,232,1751
614,434,1750
615,653,1749
616,2584,1748
617,392,1752
618,1903,1752
619,2176,1753
620,2438,1754
621,2566,1754
622,2051,1754
623,2240,1750
624,2034,1755
625,2092,1755
626,2373,1756
627,499,1756
628,2354,1756
629,2409,1756
630,42,1758
631,2325,1757
632,2538,1760
633,1833,1760
634,2124,1760
635,2475,1759
636,2218,1761
637,2495,1761
638,650,1763
639,1934,1761
640,2161,1761
641,361,1763
642,573,1764
643,2185,1763
644,2518,1763
645,2617,1763
646,2265,1767
647,2593,1767
648,88,1767
649,312,1766
650,429,1768
651,553,1767
652,2298,1768
653,1904,1769
654,1979,1768
655,2199,1767
656,2339,1768
657,2392,1767
658,2234,1769
659,2424,1769
660,529,1772
661,2035,1772
662,2570,1772
663,9,1773
664,664,1773
665,1996,1774
666,2020,1774
667,474,1773
668,1919,1773
669,2311,1775
670,407,1775
671,2357,1776
672,2495,1776
673,2633,1771
674,1842,1773
675,1871,1776
676,2078,1778
677,104,1777
678,294,1778
679,685,1778
680,1949,1778
681,2220,1779
682,190,1780
683,624,1779
684,311,1781
685,2145,1781
686,2510,1781
687,130,1781
688,223,1781
689,348,1781
690,2397,1782
691,1823,1783
692,262,1785
693,2205,1786
694,2560,1785
695,2523,1787
696,2615,1786
697,2173,1787
698,2242,1787
699,2260,1788
700,325,1789
701,1938,1788
702,473,1790
703,2098,1789
704,2328,1789
705,1871,1792
706,1959,1791
707,1978,1794
708,2050,1793
709,2156,1792
710,2630,1793
711,55,1793
712,1833,1796
713,2578,1794
714,207,1796
715,219,1795
716,248,1796
717,2197,1796
718,726,1797
719,2284,1795
720,343,1798
721,2021,1797
722,2338,1799
723,531,1800
724,2118,1801
725,2140,1802
726,2233,1803
727,23,1804
728,174,1803
729,404,1803
730,2184,1802
731,2250,1804
732,2545,1803
733,115,1804
734,573,1804
735,634,1806
736,39,1806
737,548,1806
738,2168,1805
739,2302,1805
740,715,1807
741,1844,1807
742,1906,1805
743,1925,1807
744,1955,1807
745,2317,1806
746,512,1810
747,2007,1809
748,2572,1809
749,2591,1810
750,152,1811
751,1797,1812
752,2054,1812
753,2280,1811
754,2423,1811
755,1878,1812
756,1974,1813
757,2222,1813
758,132,1815
759,337,1814
760,386,1815
761,2118,1816
762,441,1816
763,489,1817
764,2609,1818
765,266,1821
766,1914,1818
767,2165,1820
768,401,1820
769,2180,1821
770,2206,1821
771,351,1822
772,369,1823
773,526,1821
774,751,1820
775,1812,1822
776,1888,1824
777,1929,1822
778,2334,1821
779,2383,1822
780,2564,1822
781,1777,1825
782,2318,1824
783,2490,1823
784,1947,1825
785,2013,1825
786,2582,1825
787,201,1825
788,327,1826
789,715,1826
790,1856,1826
791,1902,1825
792,2108,1825
793,173,1828
794,2063,1827
795,2134,1827
796,428,1832
797,1803,1832
798,2271,1831
799,147,1832
800,219,1832
801,385,1833
802,2297,1835
803,68,1834
804,734,1834
805,1916,1835
806,2030,1835
807,2049,1834
808,39,1837
809,106,1836
810,508,1836
811,752,1836
812,2155,1835
813,2090,1837
814,2234,1837
815,2433,1836
816,86,1838
817,267,1839
818,2129,1842
819,5,1839
820,405,1841
821,1896,1839
822,2014,1842
823,2369,1841
824,2521,1841
825,1999,1840
826,2108,1841
827,488,1844
828,2068,1845
829,2172,1844
830,2190,1844
831,2506,1843
832,207,1846
833,765,1846
834,2354,1846
835,729,1849
836,70,1850
837,289,1850
838,534,1850
839,2042,1850
840,99,1851
841,1895,1853
842,2153,1850
843,2489,1851
844,20,1855
845,248,1855
846,1838,1855
847,1956,1855
848,1980,1854
849,386,1857
850,2114,1857
851,2227,1859
852,335,1861
853,484,1861
854,1795,1859
855,1815,1861
856,1851,1859
857,1921,1860
858,1996,1859
859,2258,1860
860,2357,1860
861,2401,1860
