CELL_ID,X,Y
1,1950,4
2,2972,4
3,1833,5
4,1783,6
5,1801,5
6,2085,6
7,2833,4
8,1229,6
9,1446,7
10,1537,8
11,1984,6
12,2141,8
13,2012,8
14,2045,8
15,2402,8
16,2704,8
17,1516,9
18,1626,8
19,1847,9
20,1894,9
21,2264,9
22,2891,9
23,2952,10
24,3014,10
25,1342,10
26,1499,10
27,1765,8
28,1408,13
29,1735,11
30,2487,11
31,2786,12
32,1130,13
33,1589,13
34,2521,14
35,3126,14
36,1316,15
37,2425,15
38,3106,15
39,1680,17
40,2821,15
41,1797,19
42,2191,17
43,2735,19
44,1284,20
45,2159,20
46,2683,20
47,1216,22
48,2239,21
49,2530,22
50,1570,23
51,2209,23
52,3093,23
53,3153,24
54,1100,24
55,1238,25
56,1714,26
57,1762,25
58,2466,25
59,2751,26
60,2845,26
61,1355,26
62,1694,28
63,1732,29
64,1963,27
65,2544,26
66,1470,28
67,2566,29
68,2795,28
69,2872,28
70,2962,30
71,1191,31
72,1604,30
73,1887,31
74,2827,33
75,1506,33
76,2480,35
77,2980,38
78,1627,36
79,3004,36
80,1030,39
81,2316,37
82,2405,38
83,1995,40
84,1048,42
85,1138,41
86,1539,42
87,1559,42
88,1648,42
89,2725,43
90,1215,43
91,2576,44
92,2865,45
93,1305,45
94,1740,46
95,1786,44
96,2456,45
97,3109,46
98,1101,47
99,1767,48
100,2087,47
101,1521,50
102,1504,52
103,2133,51
104,3191,51
105,1135,55
106,1489,53
107,1972,52
108,1947,54
109,2245,53
110,2828,53
111,1062,56
112,1081,55
113,1373,56
114,2067,55
115,2444,55
116,2468,56
117,1347,57
118,1574,57
119,2007,56
120,2890,57
121,2319,59
122,3022,59
123,1824,61
124,2174,60
125,2391,61
126,2623,61
127,1475,63
128,2083,64
129,2860,63
130,3132,64
131,2455,65
132,2488,63
133,3157,64
134,3107,67
135,1444,68
136,1703,67
137,3090,67
138,2048,68
139,1336,69
140,1580,70
141,1787,70
142,1965,71
143,3178,70
144,3200,69
145,1683,72
146,1002,72
147,2780,74
148,3058,73
149,2756,76
150,2459,78
151,1666,78
152,1044,80
153,1291,79
154,1771,79
155,1500,81
156,2506,79
157,3075,80
158,1597,82
159,1716,81
160,1981,82
161,1343,83
162,1368,83
163,1997,82
164,2053,82
165,2156,83
166,2120,83
167,2623,87
168,3125,84
169,1015,88
170,1200,86
171,1479,87
172,2264,87
173,1577,88
174,2722,88
175,1532,89
176,2471,90
177,2854,90
178,955,91
179,2430,91
180,2493,91
181,1774,93
182,1114,96
183,1422,95
184,2530,94
185,897,97
186,1316,95
187,1037,98
188,1149,97
189,1633,99
190,2037,100
191,2103,99
192,3011,100
193,3136,99
194,2297,101
195,2134,103
196,2502,102
197,1195,105
198,3072,104
199,1462,106
200,2347,106
201,1066,110
202,1970,110
203,2165,111
204,2066,112
205,1432,114
206,1923,114
207,2122,114
208,1264,115
209,1770,115
210,2730,116
211,1560,116
212,2530,117
213,3299,117
214,1365,118
215,1400,119
216,1993,121
217,2483,120
218,1213,120
219,1628,120
220,2317,120
221,3155,121
222,1327,122
223,1949,124
224,3061,124
225,1421,126
226,1791,125
227,2093,126
228,2888,126
229,884,125
230,947,126
231,1236,127
232,1302,126
233,2934,127
234,3000,127
235,2546,128
236,971,129
237,1771,132
238,1841,131
239,2075,131
240,2379,131
241,2120,132
242,3034,131
243,2569,133
244,3095,132
245,818,133
246,1269,135
247,2036,135
248,2959,134
249,2740,136
250,3338,137
251,1325,140
252,1344,140
253,1552,139
254,1734,139
255,3260,139
256,1576,142
257,2560,141
258,2718,141
259,846,142
260,1306,145
261,1452,142
262,1651,142
263,2056,142
264,1010,144
265,1035,144
266,1396,144
267,2254,143
268,2592,143
269,1701,147
270,1766,149
271,2982,148
272,3054,148
273,828,153
274,1245,153
275,1971,151
276,2091,152
277,2535,151
278,1126,153
279,2604,154
280,3369,153
281,1908,154
282,2773,154
283,1272,157
284,1619,156
285,1936,156
286,2963,155
287,1681,158
288,1788,157
289,3204,157
290,1058,159
291,1356,159
292,1659,160
293,3073,159
294,1214,161
295,1565,161
296,3350,161
297,1039,162
298,1441,161
299,1485,162
300,1809,163
301,1836,163
302,1855,164
303,2130,164
304,2418,163
305,2630,164
306,1300,166
307,1376,167
308,1540,166
309,817,168
310,859,168
311,923,168
312,1421,170
313,2272,168
314,2720,168
315,1341,170
316,1897,170
317,2074,168
318,3095,169
319,3390,169
320,957,171
321,1262,170
322,1314,170
323,3139,170
324,2598,172
325,3003,173
326,2537,173
327,2368,175
328,3162,174
329,1146,176
330,1573,177
331,1753,176
332,2094,177
333,1074,179
334,2342,178
335,2438,178
336,2848,178
337,3118,179
338,1470,180
339,3041,179
340,942,180
341,1277,182
342,2791,183
343,1619,183
344,1813,184
345,2888,183
346,1236,188
347,1454,185
348,1640,184
349,2032,186
350,2074,186
351,2195,186
352,2468,185
353,2916,186
354,1487,186
355,1020,188
356,2292,186
357,2550,187
358,2676,187
359,2780,188
360,772,189
361,1335,188
362,1433,189
363,2938,189
364,3098,190
365,1600,190
366,2315,190
367,1585,192
368,1665,192
369,1913,192
370,2530,192
371,2602,192
372,1215,192
373,2801,193
374,2764,194
375,2962,194
376,1357,195
377,1372,195
378,1854,194
379,2742,195
380,2819,196
381,749,197
382,3211,197
383,831,197
384,1714,199
385,2235,198
386,1309,200
387,2110,199
388,2302,200
389,1157,201
390,2318,200
391,1073,203
392,1277,204
393,1567,204
394,1734,204
395,2674,205
396,1504,206
397,1649,207
398,1186,207
399,1248,208
400,1328,208
401,1469,207
402,1604,208
403,2410,208
404,1831,208
405,2128,210
406,3077,209
407,3107,209
408,3130,209
409,3428,208
410,1533,210
411,2637,209
412,843,212
413,1418,212
414,1867,212
415,1112,212
416,1013,215
417,1385,214
418,1446,215
419,1805,214
420,2347,215
421,1299,220
422,3315,215
423,1572,217
424,2324,216
425,1768,217
426,2097,217
427,2710,218
428,2834,218
429,1139,219
430,1631,219
431,1590,220
432,1218,222
433,1665,222
434,1276,223
435,2031,224
436,2509,223
437,2693,223
438,2275,225
439,1160,226
440,2635,226
441,2854,226
442,3024,226
443,3096,226
444,983,227
445,1363,227
446,2574,227
447,2596,228
448,2613,228
449,1196,229
450,1377,228
451,2657,229
452,1492,232
453,3429,232
454,1412,232
455,1439,232
456,2870,233
457,3376,233
458,2940,234
459,1572,234
460,877,235
461,1776,237
462,1910,238
463,2330,238
464,1328,237
465,1625,238
466,3147,238
467,941,239
468,1224,239
469,1592,241
470,1654,240
471,1262,241
472,1352,242
473,2981,241
474,1245,242
475,1279,244
476,1388,244
477,2511,243
478,855,245
479,1076,244
480,1372,245
481,2769,245
482,2888,245
483,1151,245
484,1803,246
485,1867,245
486,654,248
487,1424,249
488,1561,248
489,2629,247
490,3027,247
491,919,248
492,1835,248
493,1897,249
494,2113,248
495,2703,248
496,2904,248
497,2924,248
498,2687,252
499,1405,252
500,1465,251
501,1542,252
502,1928,252
503,2411,252
504,2849,252
505,3419,250
506,1518,252
507,1607,254
508,2436,254
509,2867,254
510,2277,256
511,1197,256
512,1220,257
513,1240,256
514,1483,257
515,1501,257
516,2742,258
517,890,258
518,1339,258
519,2059,258
520,2794,257
521,3100,257
522,814,260
523,1454,262
524,2642,261
525,1160,262
526,644,263
527,980,263
528,2095,264
529,2471,262
530,2515,264
531,2719,262
532,1183,265
533,763,265
534,2606,266
535,2992,265
536,1418,266
537,2354,267
538,2895,266
539,3531,267
540,1250,270
541,1358,268
542,1557,269
543,1641,268
544,2573,269
545,2688,268
546,868,268
547,1379,269
548,1784,269
549,1078,271
550,2920,272
551,1112,274
552,1223,274
553,1852,274
554,2543,273
555,1610,274
556,2745,278
557,3091,276
558,1298,277
559,1321,275
560,2171,277
561,2870,277
562,1170,278
563,1203,278
564,1281,278
565,1464,277
566,2662,278
567,1729,280
568,2333,278
569,3057,279
570,3345,280
571,1824,282
572,1877,280
573,2244,281
574,2701,280
575,2771,282
576,3426,283
577,3130,284
578,862,286
579,884,286
580,1398,284
581,1417,286
582,2354,287
583,1217,290
584,1549,289
585,2067,289
586,2685,289
587,3539,289
588,1182,292
589,1367,288
590,1483,289
591,1682,289
592,3086,289
593,1941,291
594,3141,291
595,1336,293
596,1642,293
597,2953,293
598,1000,293
599,1270,294
600,1663,295
601,1068,295
602,1384,295
603,2868,296
604,1589,299
605,2590,297
606,648,299
607,904,299
608,1959,299
609,2562,298
610,2629,298
611,679,299
612,1400,301
613,1840,301
614,1742,302
615,3278,301
616,3319,301
617,723,305
618,871,303
619,2546,303
620,2885,304
621,3164,303
622,1485,307
623,2179,304
624,1102,306
625,1143,305
626,1370,306
627,2035,305
628,3402,307
629,3615,306
630,1529,306
631,2745,307
632,3300,307
633,937,308
634,1576,309
635,2839,308
636,836,310
637,2957,310
638,3058,307
639,1330,311
640,1686,310
641,1908,311
642,2506,311
643,1174,312
644,1727,312
645,2776,313
646,2622,314
647,702,316
648,2093,315
649,2564,316
650,2601,315
651,880,317
652,1252,317
653,913,319
654,1506,319
655,1780,317
656,2698,318
657,3083,318
658,2266,319
659,3110,319
660,3241,318
661,1922,322
