CELL_ID,X,Y
1,1249,3
2,1813,3
3,2079,3
4,2274,3
5,1406,5
6,1498,4
7,1590,5
8,1858,4
9,2430,4
10,1942,8
11,2354,7
12,2477,6
13,2549,6
14,2375,6
15,2513,8
16,1332,9
17,1388,8
18,1473,9
19,1570,11
20,1750,8
21,1420,10
22,1637,10
23,1708,10
24,2412,10
25,2051,13
26,1603,14
27,1510,16
28,1791,15
29,2021,15
30,2299,15
31,2528,15
32,2080,18
33,1356,19
34,1830,19
35,1861,19
36,2191,21
37,2372,21
38,2433,20
39,1394,22
40,1244,24
41,1424,26
42,2241,27
43,2475,28
44,2595,26
45,1453,29
46,2611,29
47,2225,31
48,1198,31
49,1645,31
50,1805,31
51,1745,32
52,2262,34
53,1473,37
54,1707,39
55,2346,39
56,2369,39
57,2437,41
58,1832,42
59,1886,43
60,2672,41
61,2549,44
62,1201,46
63,1296,46
64,1625,47
65,2457,46
66,1528,48
67,2089,47
68,2625,48
69,2233,49
70,2518,48
71,2570,48
72,1248,50
73,2651,49
74,1497,52
75,1651,51
76,2272,52
77,2386,52
78,1315,54
79,2493,52
80,1773,55
81,2432,56
82,1118,58
83,2590,58
84,2677,59
85,1205,59
86,1859,60
87,1752,61
88,1810,60
89,2295,61
90,1075,62
91,1134,62
92,1918,62
93,2657,64
94,948,65
95,1223,66
96,2405,66
97,2528,66
98,1612,68
99,1638,67
100,1099,68
101,2334,69
102,2467,70
103,1239,69
104,2445,71
105,2505,72
106,1511,72
107,1826,73
108,2205,73
109,2247,72
110,2688,73
111,1208,74
112,1875,75
113,2310,74
114,1716,75
115,1457,77
116,925,78
117,1078,78
118,1742,78
119,2133,77
120,2662,79
121,2595,81
122,1683,80
123,2293,82
124,2627,82
125,2641,80
126,1181,82
127,2677,83
128,1947,84
129,1236,85
130,2265,86
131,964,88
132,1106,87
133,2077,87
134,1272,88
135,1489,89
136,1897,90
137,2106,90
138,2235,90
139,1984,91
140,2370,91
141,1196,92
142,2178,91
143,2337,92
144,998,93
145,1389,94
146,1505,94
147,2453,94
148,1132,94
149,1623,94
150,2493,95
151,1520,96
152,1741,97
153,2702,96
154,944,99
155,1063,96
156,2124,97
157,1693,100
158,2662,98
159,980,99
160,1216,101
161,2418,100
162,1037,101
163,2473,101
164,1183,104
165,2644,104
166,1090,103
167,1953,105
168,1879,107
169,2087,105
170,2593,107
171,869,108
172,1377,108
173,2203,107
174,2675,110
175,972,110
176,1119,112
177,918,112
178,1149,113
179,1429,113
180,2498,113
181,1063,114
182,1103,115
183,2155,114
184,2224,114
185,994,116
186,1448,117
187,2476,118
188,1021,117
189,1211,115
190,1695,118
191,1926,118
192,2076,118
193,2631,118
194,2118,118
195,1168,120
196,1622,121
197,900,122
198,1079,123
199,1133,123
200,1369,122
201,2100,123
202,2187,123
203,2415,124
204,2504,126
205,2569,124
206,945,125
207,1709,126
208,1726,126
209,1970,127
210,2137,126
211,2528,126
212,824,128
213,966,127
214,1047,127
215,1200,130
216,2055,129
217,2715,130
218,1014,131
219,869,131
220,1103,133
221,2684,132
222,2355,133
223,1030,135
224,2225,135
225,2394,135
226,2441,135
227,2662,133
228,2730,134
229,923,134
230,1335,136
231,1421,135
232,1552,135
233,2156,136
234,1060,136
235,1084,138
236,1150,136
237,2199,137
238,2261,137
239,882,140
240,986,139
241,1766,138
242,854,138
243,1586,139
244,2481,141
245,903,143
246,941,142
247,1503,143
248,2112,142
249,2558,141
250,962,143
251,1820,145
252,2088,145
253,2136,145
254,1729,146
255,2592,145
256,2646,147
257,1070,148
258,1703,147
259,810,149
260,1167,149
261,1229,149
262,1780,148
263,2172,149
264,829,151
265,926,151
266,1024,151
267,2039,150
268,2697,151
269,1127,151
270,2611,152
271,1382,154
272,857,157
273,980,155
274,1143,156
275,1450,154
276,2457,156
277,1193,157
278,2209,157
279,952,159
280,1088,158
281,1612,158
282,2188,160
283,1004,160
284,1069,163
285,1637,162
286,1754,163
287,1570,164
288,2572,165
289,2670,166
290,2789,165
291,906,166
292,2629,167
293,1432,168
294,1807,167
295,2126,169
296,839,172
297,1736,169
298,2094,169
299,2233,169
300,2413,169
301,2550,169
302,1323,170
