CELL_ID,X,Y
1,1035,4
2,1135,4
3,1113,5
4,1180,6
5,1337,8
6,1371,5
7,869,5
8,9,10
9,842,10
10,935,9
11,1006,12
12,1257,12
13,973,14
14,1213,14
15,1128,16
16,943,22
17,1309,19
18,1356,20
19,1042,23
20,1330,25
21,1069,28
22,866,28
23,920,38
24,1319,39
25,1372,39
26,894,40
27,987,43
28,1344,43
29,1219,45
30,1253,44
31,1089,46
32,793,45
33,812,48
34,956,53
35,1310,59
36,1329,59
37,1366,57
38,1398,57
39,1061,62
40,1009,61
41,1349,65
42,897,67
43,814,68
44,789,74
45,1167,75
46,920,77
47,1278,78
48,1377,77
49,942,78
50,1240,82
51,1337,80
52,1086,81
53,762,85
54,1423,85
55,1137,89
56,1109,90
57,1316,91
58,1351,92
59,1397,91
60,821,94
61,936,97
62,846,98
63,1165,97
64,956,101
65,1068,101
66,1217,102
67,1448,101
68,903,103
69,1368,106
70,771,108
71,1386,108
72,1183,109
73,1497,111
74,735,111
75,1348,112
76,1462,116
77,817,120
78,1256,122
79,714,123
80,769,124
81,1052,123
82,1161,126
83,1400,128
84,940,127
85,790,130
86,888,128
87,1357,131
88,834,133
89,917,133
90,1437,133
91,1109,135
92,1225,137
93,864,138
94,1197,139
95,753,141
96,728,142
97,1268,142
98,806,145
99,1067,143
100,1316,145
101,899,150
102,1294,151
103,668,153
104,780,155
105,1121,155
106,936,156
107,1251,158
108,843,162
109,699,161
110,1150,162
111,764,163
112,1452,166
113,816,167
114,880,168
115,915,168
116,637,166
117,1061,171
118,798,172
119,745,174
120,780,176
121,1321,173
122,1293,177
123,654,179
124,1196,179
125,1256,180
126,937,182
127,904,185
128,705,185
129,1367,182
130,677,189
131,976,189
132,1152,188
133,1334,192
134,631,193
135,765,194
136,1269,193
137,1395,195
138,732,195
139,1106,197
140,1465,197
141,824,198
142,601,204
143,796,203
144,1012,203
145,952,205
146,1490,203
147,1210,207
148,853,208
149,923,209
150,1359,212
151,1525,209
152,1546,209
153,617,212
154,1279,212
155,1161,213
156,997,214
157,659,214
158,736,217
159,1091,218
160,707,219
161,1137,219
162,824,225
163,1189,224
164,1246,224
165,1513,225
166,637,225
167,1222,226
168,1297,229
169,1460,226
170,586,228
171,1489,233
172,1542,233
173,613,233
174,755,235
175,891,240
176,1575,237
177,913,238
178,1011,241
179,1247,244
180,791,246
181,940,246
182,1348,248
183,1606,247
184,1198,249
185,1315,249
186,1463,249
187,1225,251
188,1520,250
189,587,252
190,619,252
191,744,258
192,1381,256
193,1108,259
194,834,258
195,1251,262
196,555,262
197,1008,264
198,649,264
199,858,266
200,1569,267
201,1195,267
202,1642,267
203,1217,268
204,516,271
205,588,273
206,958,273
207,1290,273
208,1264,275
209,726,275
210,916,275
211,1142,276
212,1041,279
213,1318,279
214,545,281
215,1622,280
216,1392,283
217,1108,286
218,658,287
219,1203,289
220,571,292
221,817,294
222,1178,294
223,1231,295
224,1609,295
225,596,296
226,620,296
227,523,297
228,1333,296
229,1415,296
230,639,298
231,1063,299
232,893,300
233,1131,299
234,1370,302
235,1432,305
236,1297,305
237,924,307
238,1630,309
239,1535,309
240,778,310
241,1352,312
242,1502,313
243,662,314
244,1155,315
245,1029,319
246,1273,316
247,1591,323
248,1233,323
249,628,326
250,693,327
251,1331,327
252,723,328
253,1255,329
254,987,332
255,1134,332
256,1285,338
257,1074,338
258,664,341
259,961,340
260,1381,339
261,602,341
262,1552,341
263,881,346
264,1095,345
265,1021,347
266,1222,348
267,1257,349
268,799,349
269,1413,348
270,1358,351
271,1126,354
272,661,360
273,1276,359
274,1041,360
275,1315,360
276,690,359
277,1387,362
278,567,365
279,1334,366
280,1575,365
281,779,366
282,1096,369
283,897,371
284,1418,371
285,1447,372
286,722,373
287,923,375
288,952,374
289,1608,375
290,980,376
291,1651,377
292,648,379
293,1131,380
294,1015,379
295,1678,379
296,1291,384
297,1080,387
298,1558,385
299,1318,387
300,776,388
301,1427,390
302,1159,390
303,1715,391
304,566,393
305,461,396
306,1248,397
307,1036,400
308,1227,399
309,958,401
310,1203,401
311,1576,405
312,1481,405
313,732,408
314,768,407
315,1274,408
316,1683,409
317,1513,409
318,927,415
319,1431,415
320,1457,416
321,1557,416
322,1642,415
323,639,416
324,1744,415
325,1704,418
326,855,422
327,1132,423
328,1180,421
329,1251,424
330,754,426
331,1072,424
332,1293,428
333,442,430
334,415,431
335,706,432
336,1209,431
337,948,433
338,1574,433
339,1522,436
340,876,438
341,1104,435
342,1239,436
343,491,438
344,620,438
345,1272,440
346,674,440
347,1119,443
348,1730,441
349,1175,444
350,838,445
351,1091,445
352,1652,445
353,1762,446
354,643,448
355,926,447
356,748,449
357,1543,449
358,442,449
359,1702,450
360,1310,451
361,1231,455
362,1024,459
363,424,459
364,662,462
365,950,462
366,895,460
367,1140,464
368,1164,463
369,1290,464
370,627,466
371,735,466
372,836,466
373,1079,467
374,1583,466
375,760,468
376,1476,472
377,1239,477
378,1551,477
379,652,478
380,674,477
381,1736,478
382,421,480
383,936,481
384,1411,481
385,719,483
386,1573,482
387,1664,482
388,1697,482
389,396,480
390,840,484
391,1381,483
392,694,486
393,819,486
394,1451,485
395,1532,486
396,747,488
397,1178,488
398,355,490
399,507,491
400,1158,491
401,628,489
402,963,491
403,565,494
404,862,492
405,909,495
406,1097,494
407,1778,493
408,1272,497
409,1132,496
410,1243,497
411,649,498
412,677,499
413,539,500
414,1075,500
415,1574,502
416,445,503
417,1749,503
418,1685,505
419,401,507
420,345,508
421,939,507
422,469,509
423,612,509
424,1337,510
425,973,512
426,1399,512
427,1114,512
428,1525,513
429,376,514
430,666,514
431,1367,514
432,1551,515
433,901,516
434,421,515
435,569,518
436,642,519
437,1003,519
438,533,522
439,733,521
440,1713,521
441,1779,523
442,407,524
443,1287,522
444,1424,526
445,1649,524
446,877,526
447,1098,525
448,598,527
449,1683,527
450,500,527
451,624,535
452,652,533
453,1753,533
454,679,536
455,1338,538
456,1507,538
457,406,539
458,469,541
459,1595,541
460,1177,541
461,1079,544
462,1307,543
463,1663,545
464,1797,541
465,666,549
466,1048,547
467,1722,551
468,433,551
469,803,553
470,702,554
471,901,555
472,1394,555
473,1188,557
474,347,562
475,832,563
476,727,565
477,1750,566
478,1866,568
479,679,569
480,1198,571
481,1100,570
482,365,572
483,394,573
484,772,572
485,957,572
486,1322,570
487,1135,574
488,1638,573
489,457,575
490,557,577
491,1367,580
492,1454,580
493,713,582
494,1004,584
495,1657,583
496,1826,581
497,1510,586
498,665,589
499,1069,589
500,1211,590
501,1350,590
502,1111,594
503,1168,592
504,1674,595
505,731,594
506,976,596
507,1397,596
508,686,597
509,288,603
510,807,600
511,749,604
512,574,604
513,951,604
514,1575,605
515,1044,606
516,1905,607
517,713,614
518,1016,613
519,1497,613
520,687,616
521,599,615
522,1688,616
523,1070,618
524,1373,615
525,286,621
526,1556,619
527,669,623
528,962,624
529,1935,624
530,493,625
531,1437,626
532,472,627
533,1049,632
534,1596,630
535,1243,630
536,287,634
537,648,634
538,769,631
539,986,633
540,1614,631
541,689,635
542,837,634
543,324,636
544,624,638
545,1689,638
546,508,640
547,896,640
548,1656,641
549,301,641
550,669,641
551,1558,643
552,1387,643
553,1577,643
554,356,644
555,1142,643
556,1909,644
557,1007,645
558,1536,645
559,1623,646
560,474,648
561,1499,646
562,283,649
563,1079,649
564,1421,650
565,525,652
566,775,651
567,1965,650
568,856,652
569,1229,651
570,1451,653
571,1824,650
572,1204,653
573,1936,654
574,924,655
575,307,659
576,329,658
577,452,659
578,748,661
579,1258,658
580,666,661
581,788,662
582,959,663
583,983,663
584,1151,664
585,813,666
586,1410,666
587,718,666
588,1767,668
589,1802,670
590,910,672
591,1120,670
592,1238,670
593,261,672
594,355,672
595,648,672
596,1223,674
597,1497,675
598,325,680
599,877,675
600,1621,674
601,1566,676
602,1943,677
