CELL_ID,X,Y
1,2055,4
2,2269,3
3,1208,4
4,1455,5
5,1524,5
6,1844,5
7,1158,6
8,1303,6
9,1796,4
10,2113,6
11,2289,6
12,1661,6
13,1818,7
14,1998,7
15,2180,7
16,2845,6
17,1641,8
18,2233,8
19,2339,9
20,2610,9
21,1722,9
22,1762,11
23,1874,11
24,2639,10
25,2786,11
26,1274,11
27,1397,12
28,2211,10
29,2914,12
30,1134,14
31,1238,14
32,1624,13
33,2033,12
34,1492,15
35,1907,17
36,2018,17
37,2968,17
38,1792,19
39,2046,19
40,1204,21
41,2124,21
42,2279,21
43,3063,23
44,1097,26
45,1463,26
46,1659,29
47,2064,27
48,1970,29
49,1119,30
50,1944,30
51,2939,30
52,1184,31
53,1769,32
54,1811,31
55,2629,33
56,1372,35
57,1412,34
58,2109,37
59,1690,40
60,1926,39
61,2978,40
62,1038,43
63,1855,42
64,2282,42
65,2798,42
66,1584,44
67,1739,43
68,912,43
69,1905,45
70,2317,45
71,3062,45
72,1785,48
73,1169,50
74,2084,49
75,2827,49
76,2356,52
77,2922,53
78,2209,54
79,1107,56
80,1660,57
81,933,52
82,1561,57
83,1808,57
84,1352,59
85,2973,58
86,1300,61
87,1326,62
88,2997,62
89,1274,66
90,1882,66
91,1778,69
92,1009,68
93,1421,69
94,1620,70
95,1722,71
96,2258,71
97,2190,74
98,3045,73
99,1828,76
100,2979,75
101,1801,76
102,2926,76
103,1531,78
104,1367,81
105,2021,80
106,1245,82
107,2787,76
108,2801,84
109,1214,85
110,1860,85
111,2224,82
112,2401,86
113,1347,88
114,1990,86
115,1395,89
116,1602,91
117,1809,92
118,1190,93
119,2990,94
120,1307,95
121,2770,102
122,3154,101
123,1138,105
124,2969,102
125,1165,104
126,2156,103
127,2743,105
128,2935,104
129,1487,105
130,1661,105
131,1274,107
132,2573,107
133,2844,108
134,3122,107
135,832,110
136,1227,109
137,2199,108
138,2267,109
139,1797,111
140,2221,111
141,1575,112
142,2244,109
143,1206,114
144,1626,113
145,1822,115
146,1349,116
147,2141,117
148,2709,118
149,1085,120
150,1472,121
151,1840,121
152,2866,120
153,1780,125
154,1241,125
155,2461,126
156,2768,125
157,2979,127
158,1894,128
159,2123,128
160,3201,128
161,1157,128
162,1385,130
163,2799,127
164,2957,129
165,801,131
166,2209,131
167,821,132
168,1747,132
169,1801,132
170,2099,135
171,1065,136
172,1532,135
173,2709,137
174,2883,137
175,3014,136
176,3109,137
177,3167,135
178,2753,138
179,1346,138
180,1490,138
181,2183,137
182,2838,139
183,876,140
184,1096,140
185,2058,140
186,2634,139
187,2654,140
188,1043,143
189,1188,139
190,1918,141
191,1951,141
192,2230,145
193,2269,142
194,1116,145
195,1222,144
196,1457,144
197,2938,144
198,1512,145
199,1138,146
200,1606,147
201,787,147
202,1815,150
203,3090,150
204,813,152
205,2030,152
206,2155,152
207,2997,153
208,1970,155
209,3178,155
210,1165,157
211,1723,155
212,2265,156
213,2615,153
214,3144,158
215,1388,159
216,1649,157
217,2195,158
218,3208,158
219,1501,158
220,1337,160
221,1207,164
222,1793,164
223,1439,164
224,1859,165
225,2171,164
226,2862,165
227,1145,168
228,2953,166
229,789,168
230,758,168
231,1593,170
232,1694,170
233,2082,171
234,2266,171
235,2897,171
236,2984,171
237,815,171
238,1247,174
239,2116,176
240,2616,175
241,1776,175
242,1508,176
243,2226,177
244,1339,179
245,1466,178
246,1713,178
247,2024,178
248,2138,179
249,1014,179
250,1422,180
251,2051,180
252,3008,180
253,3191,180
254,1737,180
255,2292,180
256,2741,180
257,2171,183
258,1382,183
259,1282,184
260,1647,185
261,2202,189
262,1453,190
263,3137,190
264,1159,192
265,1987,193
266,766,193
267,1230,194
268,1306,194
269,2252,192
270,2216,195
271,3157,194
272,3328,195
273,2337,196
274,2838,195
275,1954,197
276,3291,197
277,2876,197
278,831,200
279,1486,200
280,1702,199
281,2953,200
282,2229,201
283,2304,202
284,1571,203
285,1927,202
286,1602,203
287,1363,206
288,2083,204
289,2243,207
290,2735,207
291,1620,208
292,1760,208
293,2273,207
294,975,212
295,1654,212
296,2318,212
297,3101,211
298,706,214
299,2025,214
300,2103,214
301,1109,215
302,2860,216
303,1397,218
304,2233,221
305,3126,218
306,870,219
307,1083,219
308,1283,219
309,941,218
310,1375,223
311,2205,221
312,3297,223
313,1598,223
314,2679,224
315,1254,224
316,3244,224
317,1227,226
318,1775,227
319,1460,227
320,966,229
321,1553,230
322,1632,228
323,1119,231
324,2344,229
325,2088,232
326,2564,232
327,2746,231
328,2960,232
329,1299,233
330,697,234
331,1043,234
332,1144,235
333,934,236
334,1587,236
335,2259,237
336,2302,235
337,3216,236
338,2471,240
339,1323,239
340,884,240
341,1349,243
342,2167,243
343,2138,243
344,3156,244
345,2040,245
346,2815,246
347,1452,247
348,1778,249
349,3236,248
350,1478,249
351,3100,248
352,958,251
353,1245,250
354,1619,249
355,3373,249
356,1120,252
357,2600,252
358,2993,252
359,1213,252
360,1283,253
361,2533,252
362,2793,251
363,678,254
364,1140,253
365,1533,253
366,1916,253
367,1040,254
368,2019,255
369,2618,255
370,3458,256
371,854,256
372,1962,258
373,2345,259
374,3073,258
375,3352,256
376,1367,258
377,2198,257
378,2377,259
379,3205,259
380,1092,259
381,1995,260
382,2289,260
383,2737,259
384,3049,258
385,1320,263
386,3384,264
387,2645,265
388,1395,268
389,1262,269
390,1736,268
391,3233,269
392,1046,272
393,1691,269
394,3407,271
395,1128,273
396,2521,271
397,2775,271
398,3434,267
399,1909,273
400,2237,274
401,2458,273
402,2970,274
403,669,275
404,1069,274
405,1344,275
406,1558,275
407,1822,275
408,2597,276
409,1216,278
410,2087,277
411,2547,278
412,2997,278
413,652,280
414,2028,280
415,964,280
416,2300,280
417,2812,281
418,1108,283
419,1320,284
420,2485,283
421,1750,285
